MCGS_Time,MCGS_TIMEMS,F1Time,F1_T,F1_pH,F1_DO,F1_ZS,F1_F,F1_P,F1_PHJ,F1_PHS,F1_AF,F1_FD,F1_FD2,F1_TP,F1_GZ,F1_JC,F1_ORP,F1_PO2,F1_PC2,F1_OUR,F1_CER,F1_RQ,F1_KLa,F1_FD3,F1_FD4
2023-3-29 0:12:49,359,0.00638889,36.9286,6.99098,94.6921,199.594,2,0,0,0.543245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:13:49,788,0.0230556,36.8874,6.99041,93.8062,201.938,2,0,0,0.54345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:14:49,11,0.0397222,36.858,6.98647,92.9696,200.563,2,0,0,0.543654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:15:49,350,0.0563889,36.8169,6.98647,92.126,101.25,2,0,0,0.543859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:16:49,779,0.0730556,36.811,6.99041,91.4581,299.906,2,0,0,0.544059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:17:49,103,0.0897222,36.8051,6.98647,91.4511,299.875,2,0,0,0.544266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:18:49,156,0.106389,36.8404,6.98647,91.8166,299.875,2,0,0,0.544477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:19:49,704,0.123056,36.8757,6.99098,92.2314,300.031,2,0,0,0.544684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:20:49,41,0.139722,36.958,6.99041,92.6322,299.938,2,0,0,0.544891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:21:49,323,0.156389,37.0404,6.99041,93.068,299.906,2,0,0,0.545102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:22:49,697,0.173056,37.105,6.99041,93.3633,299.938,2,0,0,0.545314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:23:50,3,0.19,37.1227,6.99041,93.5321,299.938,2,0,0,0.545526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:24:50,286,0.206667,37.1403,6.99041,93.5883,299.969,2,0,0,0.545737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:25:50,585,0.223333,37.0815,6.99041,93.5321,299.969,2,0,0,0.545945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:26:50,889,0.240278,37.0698,6.98647,93.5321,299.938,2,0,0,0.546154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:27:50,238,0.256667,37.0168,6.98647,93.4196,299.938,2,0,0,0.546356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:28:50,515,0.273333,37.0404,6.9859,93.3633,299.938,2,0,0,0.546558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:29:50,807,0.290278,37.011,6.98647,93.2719,299.969,2,0,0,0.54676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:30:50,97,0.306667,37.0051,6.9859,93.1454,299.875,2,0,0,0.54696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:31:50,455,0.323333,36.9757,6.98196,93.0188,300.438,2,0,0,0.54716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:32:50,791,0.340278,36.9286,6.98196,92.822,299.875,2,0,0,0.547362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:33:50,88,0.356667,36.9404,6.98196,92.6884,299.938,2,0,0,0.547564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-3-29 0:34:50,382,0.373333,36.9286,6.98196,92.5689,299.938,2,0,0,0.547768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
